id,sentence,target
348,"if you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy",+
349,"the plot is plastered with one hollywood cliche after another , most of which involve precocious kids getting the better of obnoxious adults",-
350,"enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers",+
351,i 'd give real money to see the perpetrators of chicago torn apart by dingoes,-
352,"the doofus on the loose banter of welcome to collinwood has a cocky , after hours loopiness to it and as with most late night bull sessions , eventually the content is n't nearly as captivating as the rowdy participants think it is",-
353,filmmaker tian zhuangzhuang triumphantly returns to narrative filmmaking with a visually masterful work of quiet power,+
354,"a bit of a downer and a little over dramatic at times , but this is a beautiful film for people who like their romances to have that french realism",+
355,"a fitfully amusing romp that , if nothing else , will appeal to fans of malcolm in the middle and its pubescent star , frankie muniz",-
356,"reggio falls victim to relying on the very digital technology that he fervently scorns , creating a meandering , inarticulate and ultimately disappointing film",-
357,tackles the difficult subject of grief and loss with such life embracing spirit that the theme does n't drag an audience down,+
358,a very capable nailbiter,+
359,"despite the long running time , the pace never feels slack there 's no scene that screams bathroom break !",+
360,"although it lacks the detail of the book , the film does pack some serious suspense",+
361,"it wraps up a classic mother daughter struggle in recycled paper with a shiny new bow and while the audience can tell it 's not all new , at least it looks pretty",-
362,"even film silliness needs a little gravity , beyond good hair and humping",-
363,the gags are often a stitch,+
364,"despite a quieter middle section , involving aragorn 's dreams of arwen , this is even better than the fellowship there are scenes of cinematic perfection that steal your heart away",+
365,"aside from the fact that the film idiotically uses the website feardotcom com or the improperly hammy performance from poor stephen rea , the film gets added disdain for the fact that it is nearly impossible to look at or understand",-
366,"the year 2002 has conjured up more coming of age stories than seem possible , but take care of my cat emerges as the very best of them",+
367,"the movie is well done , but slow",+
368,they should have called it gutterball,-
369,the sequel plays out like a flimsy excuse to give blade fans another look at wesley snipes ' iconic hero doing battle with dozens of bad guys at once,-
370,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya",+
371,"despite an impressive roster of stars and direction from kathryn bigelow , the weight of water is oppressively heavy",-
372,wanker goths are on the loose ! run for your lives !,-
373,"a frustrating ` tweener ' too slick , contrived and exploitative for the art houses and too cynical , small and decadent for the malls",-
374,i watched the brainless insanity of no such thing with mounting disbelief,-
375,"the adventure does n't contain half the excitement of balto , or quarter the fun of toy story 2",-
376,"a miraculous movie , i 'm going home is so slight , yet overflows with wisdom and emotion",+
377,"go , girls , right down the reality drain",-
378,long time dead ? not nearly long enough,-
379,almost gags on its own gore,-
380,"at a time when half the so called real movies are little more than live action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history",+
381,sheridan 's take on the author 's schoolboy memoir is a rather toothless take on a hard young life,-
